id,submi_id,title,authors,Keywords,group,type,abstracts,img,alt_text,video_link,captions,transcript,doc_link
1,19,"AIDGO: A FAIR, Ontology for Aligning the EU AI Act Data Governance Obligations with ISO/IEC Technical Standards",Kuruvilla George Aiyankovil and David Lewis,"ontology engineering, EU AI Act, ISO 5259, legal-technical alignment, knowledge graph, SPARQL, SKOS, data governance, FAIR, compliance",pd,Poster,,https://drive.google.com/file/d/1uOv8gtSVFP9er5dIEz7uJzUavt4JxRAp/view?usp=drive_link,"Research poster for AIDGO, an OWL 2 ontology mapping EU AI Act Article 10 onto ISO/IEC 5259-3:2025. Twelve numbered sections in three columns cover the problem, an ontology schema diagram, a four-phase methodology pipeline, the decision sequence, the alignment taxonomy, a worked example, competency questions and findings. The headline result, shown as a row of 17 colour-coded tiles, is that of 17 atomic Article 10 obligations only 2 are completely satisfied by the standard, 12 are partially satisfied and 3 have no aligned requirement.",,,,
2,22,Large Language Model-based Textual Graph Retrieval Agent with Minimal Toolset,"Wooyoung Kim, Doyoung Kwon, Haemin Jung and Wooju Kim","Large Language Models, Semi-Structured Knowledge Base, Graph Retrieval, Tool-Augmented Agents",pd,Poster,,https://drive.google.com/file/d/1q50-48g5o3cSKRlIhPCZrRpndUa4gAuS/view?usp=drive_link,,,,,
3,25,Towards Understanding Causality in Judicial Narratives: A Simple Approach using Event-Centric Knowledge Graphs,"Ngoc-Duy Mai, Ha-Thanh Nguyen, Ken Satoh and Hideaki Takeda","Knowledge Graph, Causality, Event-Centric, Legal, Natural Language Processing",pd,Poster,,,,,,,
4,31,Semantic MediaWiki as a Governed Architecture for Ontology‑Driven Collaborative Knowledge Engineering,"Rajesh Piryani, Sadeq Zougari, Yannick Hersant, Benoit Dalet, Carole Convers and Benoit Baurens","Semantic MediaWiki, Knowledge graphs, Ontology engineering, Semantic annotation, Collaborative Knowledge Base, RDF, SPARQL, Human‑in‑the‑Loop AI",pd,Poster,,,,,,,
5,35,Cost-Preserving Distributed Approximate Pattern Mining for Scalable RDF Graph Summarization,Mussab Zneika,"RDF Graph Summarization, Knowledge Graphs, Approximate Pattern Mining, Distributed Data Mining, MapReduce, Cost-Based Optimization, Semantic Technologies, Scalability",pd,Poster,,,,,,,
6,36,Automated Consent Form Generation: Using Ontology for Model Configuration,"Maryam Mohammadi, Aliena Strathmann, Katja Politt, Hendrik Buschmeier and Annett Jorschick","consent forms, taxonomy, ontology, linked data, modules",pd,Poster,,,,,,,
7,44,Beyond Similarity: LLM-Based Generation of Typed Semantic Links for Ontology Networks,"Nouha Hayouni, Sheeba Samuel and Alsayed Algergawy","Ontology Network, Knowledge Interoperability, Large Language Model, Ontology Alignment, Scientific Reproducibility",pd,Poster,,,,,,,
8,57,SC-RED: A Knowledge-Graph-Grounded Supply Chain Relation Extraction Dataset,"Siva Indraneel Dhulipala, Debayan Banerjee and Ricardo Usbeck","relation extraction, supply chain, knowledge graphs",pd,Poster,,,,,,,
9,67,From Documents to Decisions: Ontology-Driven Knowledge Graph Construction for Collective Intelligence Using Agentic AI,"Felix Neubürger, Ole Katzenberger, Salvador Cantuarias and Thomas Kopinski","Knowledge Graph Construction, Ontology-Driven Extraction, Large Language Models, Agentic AI, Competency Questions, SHACL Validation, Information Extraction, Semantic Web",pd,Poster,,,,,,,
10,46,From Fragmentation to Fidelity: Can Partially Harmonized Knowledge Graphs Support Reliable Clinical Question Answering?,"Astha Anand, Martin Hofmann-Apitius, Maria Vehreschild, Jörg Janne Vehreschild and Marc Jacobs","Knowledge Graphs (KG), Retrieval-Augmented Generation (RAG), Generative AI and Knowledge Graphs, Reasoning on RAG, Provenance, Explainable AI, Biomedicine and Health",pd,Poster,,,,,,,
11,158,Towards Neurosymbolic Learning for the Semantic Web with Kolibrie,Volodymyr Kadzhaia and Pieter Bonte,"Neuro-symbolic learning, Semantic Web, RDF 1.2, SPARQL-star",pd,Poster,,,,,,,
12,16,OWL-SDA: A Multi-Agent System for Generating Synthetic Data to Support Ontology Evaluation,Maxim Van de Wynckel and Emmelien De Roock,"synthetic data, OWL, AI-agents, ontology-driven documentation",pd,Poster,,https://drive.google.com/file/d/1SL8ZohaoViJkDeH-6LL8VaM1-mLslmqz/view?usp=sharing,Poster for OWL-SDA: A Multi-Agent System for Generating Synthetic Data to Support Ontology Evaluation,https://www.youtube.com/watch?v=TlkZyudGWVA,captions,transcript,
13,20,ODDToolkit: An Open-Source Toolkit to Help Bridge the Developer Gap in Ontology Driven Design,Maxim Van de Wynckel and Geert Van Haute,"ontology driven design, documentation, code generation, data modelling, software development",pd,Poster,,,,,,,
14,24,Chemical Identity Lost in Regulation: A Study of Semantic Interoperability in European Chemical Substance Data,"Geert Van Haute, Stijn Goedertier, Pieter Fannes and Maxim Van de Wynckel","semantic interoperability, regulatory interoperability, Interoperable Europe, chemical substance identification",pd,Poster,,,,,,,
15,73,LLM-Assisted Ontology Engineering and Construction of a French Legal Knowledge Graph,"Génesis Montenegro, Mokhtar Boumedyen Billami, Fabien Gandon, Catherine Faron and Pierre Monnin","ontology, knowledge graph, knowledge engineering, language models, legal texts, maintenance regulation",pd,Poster,,,,,,,
16,87,Datalens: A Semantic Model and Knowledge Graph for Discovery and Exploration of Machine Learning Resources,"Zachari Arnaud, Aline Menin, Anaïs Ollagnier and Catherine Faron","Knowledge Graphs, Ontology Engineering, Machine Learning Metadata, Dataset Discovery, Semantic Web",pd,Poster,,,,,,,
17,109,Schema Injection in the Wild for Link Prediction: Lessons Learned from Incomplete Schema Cases,"Nicolas Robert, Pierre Monnin and Catherine Faron","Link Prediction, Knowledge Graph Embedding, Loss functions, Schema injection, Neurosymbolic AI",pd,Poster,,,,,,,
18,83,Tokenizing the Graph: Attentive Byte-pair Encoding for Knowledge Graph Embeddings,"N'Dah Jean Kouagou, Arnab Sharma, Harshit Purohit, Caglar Demir and Axel-Cyrille Ngonga Ngomo","Knowledge graph embedding, Link prediction, Tokenization, Transformer",pd,Poster,,,,,,,
19,84,Parameterized Fuzzy Negation for Complex Query Answering over Knowledge Graphs,"Sourabh Kapoor, Arnab Sharma, Stefan Heindorf, Caglar Demir and Axel-Cyrille Ngonga Ngomo","Question answering, Knowledge Graph Embedding, Fuzzy Logic Norms",pd,Poster,,,,,,,
20,131,The Semantic Immune System: Adaptive Knowledge Integrity in the Era of Induced Semantics,"Manzoor Ali, Yasir Mahmood, Muhammad Saleem and Axel-Cyrille Ngonga Ngomo","Induced Semantics, Neuro-Symbolic AI, Artificial Immune Systems, Self repair, Semantic Web",pd,Poster,,,,,,,
21,161,Integrating Domain Experts and Large Language Models for CQ Generation,Maryam Sefidbari and Leyla Jael Castro,"Competency Questions, Ontology Engineering, Ontology Validation, Large Language Models, Requirement Elicitation, Automated Competency Question Generation",pd,Poster,,,,,,,
