id,submi_id,title,authors,video_link,img,Keywords,group,type,abstracts,alt_text,captions,transcript,doc_link
1,19,"AIDGO: A FAIR, Ontology for Aligning the EU AI Act Data Governance Obligations with ISO/IEC Technical Standards",Kuruvilla George Aiyankovil and David Lewis,,https://drive.google.com/file/d/1uOv8gtSVFP9er5dIEz7uJzUavt4JxRAp/view?usp=drive_link,"ontology engineering, EU AI Act, ISO 5259, legal-technical alignment, knowledge graph, SPARQL, SKOS, data governance, FAIR, compliance",pd,Poster,"Research poster for AIDGO, an OWL 2 ontology mapping EU AI Act Article 10 onto ISO/IEC 5259-3:2025. Twelve numbered sections in three columns cover the problem, an ontology schema diagram, a four-phase methodology pipeline, the decision sequence, the alignment taxonomy, a worked example, competency questions and findings. The headline result, shown as a row of 17 colour-coded tiles, is that of 17 atomic Article 10 obligations only 2 are completely satisfied by the standard, 12 are partially satisfied and 3 have no aligned requirement.","Research poster for AIDGO, an OWL 2 ontology mapping EU AI Act Article 10 onto ISO/IEC 5259-3:2025. Twelve numbered sections in three columns cover the problem, an ontology schema diagram, a four-phase methodology pipeline, the decision sequence, the alignment taxonomy, a worked example, competency questions and findings. The headline result, shown as a row of 17 colour-coded tiles, is that of 17 atomic Article 10 obligations only 2 are completely satisfied by the standard, 12 are partially satisfied and 3 have no aligned requirement.",,,
2,159,An AI-Assisted Semantic Platform enabling Pesticide Risk Assessment,"Ugo Gentile, Till Goldmann, Francesco Carratta and Julie Moulin",,https://drive.google.com/file/d/13xBFqoEr5av4_1XAYd6q-bd0LvuNGu5Z/view?usp=drive_link,"AI, NLP, Ontology, Chemical Risk Assessment, Pesticides",pd,Poster,"This research poster presents an AI-assisted semantic platform designed to support pesticide risk assessment in food safety. The platform addresses the challenge of integrating heterogeneous regulatory, scientific, and analytical information originating from multiple sources that use different terminologies and representations.


The proposed approach combines transformer-based natural language processing with a domain-specific pesticide ontology. Natural language processing is used to automatically identify and normalize entities such as pesticides, foods, and locations from unstructured documents. The extracted information is then integrated into a semantic knowledge model that harmonizes concepts and relationships across data sources.


A key innovation is the introduction of the concept of a “denominator”, which groups chemically related entities, including active substances, salts, metabolites, and residue definitions, under a common reference compound. This enables consistent interpretation and integration of information originating from different regulatory and analytical datasets.


The poster illustrates a workflow in which heterogeneous data sources are processed through Named Entity Recognition and Entity Linking components, mapped to a pesticide ontology, and consolidated into a knowledge base supporting expert-driven risk assessment and decision making. The ontology is created through entity consolidation, property harmonization, establishment of denominator relationships, and semantic reasoning based on expert-defined rules.


Evaluation results demonstrate strong performance of the information extraction components. Named Entity Recognition achieved an F1 score of 90%, with precision of 89% and recall of 91%. Entity Linking achieved F1 scores of 81% for contaminants, 90% for foods, and 87% for locations. The ontology consolidates more than 34,000 fragmented chemical representations into fewer than 6,000 harmonized concepts connected through over 22,000 semantic relationships.

 
The work demonstrates that combining artificial intelligence with semantic technologies can substantially improve the efficiency, consistency, scalability, and explainability of pesticide risk assessment. The resulting framework supports evidence-based decision making and proactive monitoring while reducing the effort required for expert assessment.","This research poster presents an AI-assisted semantic platform designed to support pesticide risk assessment in food safety. The platform addresses the challenge of integrating heterogeneous regulatory, scientific, and analytical information originating from multiple sources that use different terminologies and representations.


The proposed approach combines transformer-based natural language processing with a domain-specific pesticide ontology. Natural language processing is used to automatically identify and normalize entities such as pesticides, foods, and locations from unstructured documents. The extracted information is then integrated into a semantic knowledge model that harmonizes concepts and relationships across data sources.


A key innovation is the introduction of the concept of a “denominator”, which groups chemically related entities, including active substances, salts, metabolites, and residue definitions, under a common reference compound. This enables consistent int",,,
3,25,Towards Understanding Causality in Judicial Narratives: A Simple Approach using Event-Centric Knowledge Graphs,"Ngoc-Duy Mai, Ha-Thanh Nguyen, Ken Satoh and Hideaki Takeda",,https://drive.google.com/file/d/1LSQIgZ4P5569b7H9m13ea_x2M-8dZ39a/view?usp=drive_link,"Knowledge Graph, Causality, Event-Centric, Legal, Natural Language Processing",pd,Poster,"Towards Understanding Causality in Judicial Narratives: A Simple Approach using Event-Centric Knowledge Graphs

Authors:
Ngoc-Duy Mai, Ha-Thanh Nguyen, Ken Satoh, and Hideaki Takeda

Affiliation:
National Institute of Informatics, Japan

Poster type:
Research poster presented at the 22nd International Conference on Semantic Systems (SEMANTiCS 2026).

Short alternative text:
A research poster presenting an event-centric causality knowledge graph pipeline for transforming judicial narratives into structured representations of entities, events, temporal relations, and causal explanations. The poster includes the proposed pipeline, supported legal queries, an example graph, evaluation results, limitations, and conclusions.

Detailed alternative description:
The poster has a dark blue title banner at the top and a light blue and white multi-section layout below. Logos of SOKENDAI, the National Institute of Informatics, and the Center for Juris-Informatics appear in the title area. The title is “Towards Understanding Causality in Judicial Narratives: A Simple Approach using Event-Centric Knowledge Graphs.”

The abstract explains that judicial decisions are complex narratives containing events, actors, and reasoning about legal outcomes. Existing legal knowledge graphs often focus on entities or isolated events and give limited attention to explicit causal relations. The proposed approach is an event-centric causality knowledge graph that jointly represents events, temporal relations, and causal explanations extracted from judicial narratives.","Towards Understanding Causality in Judicial Narratives: A Simple Approach using Event-Centric Knowledge Graphs

Authors:
Ngoc-Duy Mai, Ha-Thanh Nguyen, Ken Satoh, and Hideaki Takeda

Affiliation:
National Institute of Informatics, Japan

Poster type:
Research poster presented at the 22nd International Conference on Semantic Systems (SEMANTiCS 2026).

Short alternative text:
A research poster presenting an event-centric causality knowledge graph pipeline for transforming judicial narratives into structured representations of entities, events, temporal relations, and causal explanations. The poster includes the proposed pipeline, supported legal queries, an example graph, evaluation results, limitations, and conclusions.

Detailed alternative description:
The poster has a dark blue title banner at the top and a light blue and white multi-section layout below. Logos of SOKENDAI, the National Institute of Informatics, and the Center for Juris-Informatics appear in the title area. The title",,,
4,31,Semantic MediaWiki as a Governed Architecture for Ontology‑Driven Collaborative Knowledge Engineering,"Rajesh Piryani, Sadeq Zougari, Yannick Hersant, Benoit Dalet, Carole Convers and Benoit Baurens",,https://drive.google.com/file/d/1sH91dRv_4XrawwiYe8GuJwrE4sMIuaB4/view?usp=drive_link,"Semantic MediaWiki, Knowledge graphs, Ontology engineering, Semantic annotation, Collaborative Knowledge Base, RDF, SPARQL, Human‑in‑the‑Loop AI",pd,Poster,"Semantic MediaWiki as a Governed Architecture for Ontology‑Driven Collaborative Knowledge Engineering

Introduction:
The SCIMIN-CRM (Sustainable and CIrcular production of MINeral Critical Raw Materials) project:
- aims to support the characterization, valorization, and recovery of materials from historical mining waste facilities,
- produces a large collection of heterogeneous knowledge assets, including technical reports, environmental assessments, sustainability studies, datasets, and guidelines,
- requires collaborative management, structured organization, and controlled publication.
To address these requirements, the SCIMIN-CRM digital platform adopts a Semantic MediaWiki (SMW)-based approach supported by the SCIMIN-CRM ontology. The platform combines collaborative authoring, ontology-grounded semantic annotation, semantic search, RDF generation, and interoperable access through standardized APIs. This work presents the SCIMIN-CRM Open Collaborative Knowledge Base and its governance-oriented workflow for ontology-driven semantic annotation, human validation, and controlled publication.

Main Contributions:
The main contributions are: 
i) a service-oriented semantic architecture combining ontology alignment and AI-based enrichment within a Wikimedia-style CMS; 
ii) a hybrid human–machine validation workflow supporting semantic annotation validation and controlled publication; and 
iii) practical insights into challenges of deploying an ontology-based knowledge base in a multidomain research context. 
The platform demonstrates how SMW infrastructures can enable structured, interoperable, and sustainable knowledge management for multidomain research initiatives.","Semantic MediaWiki as a Governed Architecture for Ontology‑Driven Collaborative Knowledge Engineering

Introduction:
The SCIMIN-CRM (Sustainable and CIrcular production of MINeral Critical Raw Materials) project:
- aims to support the characterization, valorization, and recovery of materials from historical mining waste facilities,
- produces a large collection of heterogeneous knowledge assets, including technical reports, environmental assessments, sustainability studies, datasets, and guidelines,
- requires collaborative management, structured organization, and controlled publication.
To address these requirements, the SCIMIN-CRM digital platform adopts a Semantic MediaWiki (SMW)-based approach supported by the SCIMIN-CRM ontology. The platform combines collaborative authoring, ontology-grounded semantic annotation, semantic search, RDF generation, and interoperable access through standardized APIs. This work presents the SCIMIN-CRM Open Collaborative Knowledge Base and its governan",,,
5,35,Cost-Preserving Distributed Approximate Pattern Mining for Scalable RDF Graph Summarization,Mussab Zneika,,https://drive.google.com/file/d/1ORzZ1TSmhmKYZqy1qzYF6bHyL85gXIqB/view?usp=drive_link,"RDF Graph Summarization, Knowledge Graphs, Approximate Pattern Mining, Distributed Data Mining, MapReduce, Cost-Based Optimization, Semantic Technologies, Scalability",pd,Poster,"Cost-Preserving Distributed Approximate Pattern Mining for
Scalable RDF Graph Summarization Author: Mussab Zneika, Independent
Researcher, Paris, France

This is a one-page landscape academic poster about a distributed
approach to RDF graph summarization using cost-based approximate pattern
mining.

The poster is organized into seven numbered sections.

1.  PROBLEM & MOTIVATION This section explains that SemSum+ formulates
    RDF graph summarization as cost-based approximate pattern mining,
    but its complete binary representation must fit in the memory of a
    single machine. Existing distributed approaches partition the data
    to improve scalability but do not preserve the global reconstruction
    cost. The proposed solution is distributed approximate pattern
    mining with cost-preserving merging using the Missing-Neighbors
    Index (MNI).

2.  PROPOSED FRAMEWORK A workflow diagram shows the distributed process.
    An RDF graph is converted into a binary matrix and partitioned by
    rows. In Phase 1, multiple workers independently extract local
    approximate patterns and build Missing-Neighbors information. In
    Phase 2, candidate patterns are evaluated for merging using the
    stored information. Accepted merges are combined into a final RDF
    summary.","Cost-Preserving Distributed Approximate Pattern Mining for
Scalable RDF Graph Summarization Author: Mussab Zneika, Independent
Researcher, Paris, France

This is a one-page landscape academic poster about a distributed
approach to RDF graph summarization using cost-based approximate pattern
mining.

The poster is organized into seven numbered sections.

1.  PROBLEM & MOTIVATION This section explains that SemSum+ formulates
    RDF graph summarization as cost-based approximate pattern mining,
    but its complete binary representation must fit in the memory of a
    single machine. Existing distributed approaches partition the data
    to improve scalability but do not preserve the global reconstruction
    cost. The proposed solution is distributed approximate pattern
    mining with cost-preserving merging using the Missing-Neighbors
    Index (MNI).

2.  PROPOSED FRAMEWORK A workflow diagram shows the distributed process.
    An RDF graph is converted into a binary matrix and partiti",,,
6,36,Automated Consent Form Generation: Using Ontology for Model Configuration,"Maryam Mohammadi, Aliena Strathmann, Katja Politt, Hendrik Buschmeier and Annett Jorschick",,https://drive.google.com/file/d/1PbVOHtaUwioHfnOstDBRTNjgIENNAuSv/view?usp=drive_link,"consent forms, taxonomy, ontology, linked data, modules",pd,Poster,"Automated Consent Form Generation: Using Ontologies for Model Configuration

AUTHORS: Maryam Mohammadi, Aliena Strathmann, Katja Politt, Annett Jorschick, and Hendrik Buschmeier.
Affiliations: University of Bielefeld, CRC 1646 – INF; Rostock University.

1. BACKGROUND

The project aims to develop RUDI, an end-to-end data management platform for the diverse types of empirical linguistic data collected within Collaborative Research Centre 1646. RUDI is intended to support project-specific data management, effective collaboration, legal and ethical compliance, and research data reuse.

The poster argues that structured research data management can improve documentation and collaboration efficiency. At the same time, data management strategies need to be adaptable to the needs of individual research projects.

2. RUDI STRUCTURE DIAGRAM

The RUDI data mangement platform consists of three components: a Consent Form Generation Wizard, Consent Instance Management, and a metadata repository for research data.

A central diagram illustrates how these components are integrated into the Data Management Platform. Researchers provide research metadata and resources when generating consent forms for their study; participants sign consent on the generated forms; consent information is managed through Consent Instance Management; and the Research Data Meta-Repository maps study and consent information to research datasets. 

The diagram also shows that the platform is configured using ontology informed by interdisciplinary expertise, and the ontology is in turn informed by usage and feedback from researchers using the platform.
","Automated Consent Form Generation: Using Ontologies for Model Configuration

AUTHORS: Maryam Mohammadi, Aliena Strathmann, Katja Politt, Annett Jorschick, and Hendrik Buschmeier.
Affiliations: University of Bielefeld, CRC 1646 – INF; Rostock University.

1. BACKGROUND

The project aims to develop RUDI, an end-to-end data management platform for the diverse types of empirical linguistic data collected within Collaborative Research Centre 1646. RUDI is intended to support project-specific data management, effective collaboration, legal and ethical compliance, and research data reuse.

The poster argues that structured research data management can improve documentation and collaboration efficiency. At the same time, data management strategies need to be adaptable to the needs of individual research projects.

2. RUDI STRUCTURE DIAGRAM

The RUDI data mangement platform consists of three components: a Consent Form Generation Wizard, Consent Instance Management, and a metadata repository for",,,
7,44,Beyond Similarity: LLM-Based Generation of Typed Semantic Links for Ontology Networks,"Nouha Hayouni, Sheeba Samuel and Alsayed Algergawy",,https://drive.google.com/file/d/1yT74nR2y2ZzWp3Uon0bnhzzFxAbG4SXR/view?usp=drive_link,"Ontology Network, Knowledge Interoperability, Large Language Model, Ontology Alignment, Scientific Reproducibility",pd,Poster,"Beyond Similarity: LLM-Based Generation of Typed Semantic Links for Ontology Networks
* Authors: Nouha Hayouni (1), Sheeba Samuel (2), Alsayed Algergawy (3)
* Affiliations: (1) Chair of Data and Knowledge Engineering, University of Passau, Germany; (2) Distributed and Self-organizing Systems, Chemnitz University of Technology, Germany; (3) FIZ Karlsruhe – Leibniz Institute for Information Infrastructure, Germany
* Conference: Semantics 2026
* Poster Number: 44
* Contact: sheeba.samuel@informatik.tu-chemnitz.de; alsayed.algergawy@uni-jena.de

## Section 1: Introduction
Ontology networks enable interoperability by connecting independently developed ontologies through meaningful semantic relationships, but curating such links manually does not scale to large interdisciplinary collections

## Section 2: Motivations
### Figure 1: Motivation example
### Figure 2: An ontology network from the biology domain

We utilized a mixed-methods approach combining satellite thermal imaging with ground-level sensors.
1. Satellite Data: Landsat 8 thermal infrared sensor data from July 2025.
2. Ground Sensors: 15 temperature/humidity loggers placed radially outward from 3 target parks.
3. Analysis: Buffer zones were mapped at 25-meter intervals up to 200 meters outside park boundaries.

## Section 3: ReproduceMeON

### Figure 3: Ontology network layers 
### Figure 4: Overview of Intra- and Inter-Relationships in ReproduceMeON


## Section 3.1: ReproduceMeON Pipeline
### Figure 5: The general architecture and pipeline overview of RepreduceMeON  


## Section 3.2: Embedding Generation
### Figure 6: Outline of the embedding generation  


## Section 3.3: Clustering
### Figure 7: Outline of the clustering steps 


## Section 3.4: Relationships Generation
### Figure 8: Outline of the prompt refinement for relationships generation using LLMs 


## Section 4: Datasets
### Table 1: Datasets used for evaluation

## Section 5: Results

### Table 2: Relationship distribution from sampled pairs 
### Figure 9: Relation types across different domains 

## Section 6: Conclusions
- an end-to-end pipeline for enhancing ontology network development discovering intra- and inter-domain relationships.
- combines fine-tuned DistilBERT embeddings, clustering-based candidate selection, iterative GPT-4o prompt engineering, and role-based relationship materialization 
- Four domains, dual expert validation of 429 generated relationships confirms an overall precision of 80.19% (rising to 91.49% on high-certainty annotations), with an F1 of 0.890 on a balanced evaluation set.","Beyond Similarity: LLM-Based Generation of Typed Semantic Links for Ontology Networks
* Authors: Nouha Hayouni (1), Sheeba Samuel (2), Alsayed Algergawy (3)
* Affiliations: (1) Chair of Data and Knowledge Engineering, University of Passau, Germany; (2) Distributed and Self-organizing Systems, Chemnitz University of Technology, Germany; (3) FIZ Karlsruhe – Leibniz Institute for Information Infrastructure, Germany
* Conference: Semantics 2026
* Poster Number: 44
* Contact: sheeba.samuel@informatik.tu-chemnitz.de; alsayed.algergawy@uni-jena.de

## Section 1: Introduction
Ontology networks enable interoperability by connecting independently developed ontologies through meaningful semantic relationships, but curating such links manually does not scale to large interdisciplinary collections

## Section 2: Motivations
### Figure 1: Motivation example
### Figure 2: An ontology network from the biology domain

We utilized a mixed-methods approach combining satellite thermal imaging with ground-",,,
8,57,SC-RED: A Knowledge-Graph-Grounded Supply Chain Relation Extraction Dataset,"Siva Indraneel Dhulipala, Debayan Banerjee and Ricardo Usbeck",,https://drive.google.com/file/d/15TxyOvtSEFA1fm9VgtjTFCrpzk3BtSn4/view?usp=drive_link,"relation extraction, supply chain, knowledge graphs",pd,Poster,"A Silver-Standard Dataset for Supply Chain Relation Extraction

SHORT ALT TEXT (primary alt attribute):
Research poster presenting SC-RED, a supply chain relation extraction dataset built from Wikidata and Wikipedia, comprising 1,150 text-triplet sample pairs across 11 relation types and 5 entity types.

LONG DESCRIPTION (accompanying metadata field):
This poster introduces SC-RED (Supply Chain Relation Extraction Dataset), a benchmark dataset comprising 1,150 text-triplet pairs, spanning 11 relations and 5 entity types across 1,671 triples and 2,328 unique entities. Relations cover the supply chain network, including ""has subsidiary,"" ""is in partnership with,"" ""sources energy from,"" and ""processes raw material."" The underlying ontology defines 15 relations and 5 entity types, combining the SCOR-DS supply chain framework with an Enterprise Ontology to formally ground supply chain actors rather than define them freely. The current dataset covers a subset of these 15 relations, scoped from Wikidata and Wikipedia for low-resource testing; running the pipeline further would extend coverage to the remaining relations.

The poster presents an 8-step construction pipeline: (1) sourcing data from Wikidata and Wikipedia, (2) defining relevant relationships and company types using supply chain standards, (3) drafting and verifying seed tags (QIDs and PIDs) using an LLM with extensive manual correction, (4) organizing tags into 5 groups for the extraction model, (5) pulling matching triples from Wikidata in the form of source entity, relation, target entity, (6) fetching the Wikipedia article for each source entity in the list of triples, (7) filtering out triples not supported by article text and stratifying by company and relation type, and (8) compiling the final SC-RED dataset of 1,150 documents, 1,671 triples, 2,328 entities, and 11 relations.

The poster also evaluates AgentRE, an agentic framework for relation extraction, on SC-RED. An audit of AgentRE's released implementation found four unimplemented components: Shallow Memory's correct/incorrect split, Deep Memory's reflexion and correct-prediction storage, and Relevant Information Retrieval for entity context. The authors reconstruct these gaps as AgentRE_redux and ablate five configurations on DuIE2.0, finding that ReAct_FSL, a retrieval-only variant, matches memory-augmented pipelines with lower variance. Evaluated on the full SC-RED test set, ReAct_FSL more than doubles the zero-shot baseline's Macro F1 (3.23 to 6.89) but remains low overall. The key finding attributes this to Wikidata's label noise and incomplete coverage, recursive self-verification loops, and hallucinated pseudo-chunking, pointing to document chunking and step-constrained execution as next steps.


FIGURE: RELATION EXTRACTION IN SUPPLY CHAIN: 
A figure showing how relation extraction works. An unstructured text corpus is subjected to relation extraction resulting in the formulation of triples, which can then be used to create the knowledge graph in supply chain.  


FIGURE: QR CODE FOR REPO: 
A QR Code pointing to the GitHub link: https://github.com/semantic-systems/AgentRE_redux


FIGURE: FLOWCHART FOR DATASET PREPARATION:
An 8-step vertical flowchart with numbered stages connected by a conveyor-belt illustration in dark maroon and gold steampunk-style icons. Step 1 shows a database and Wikipedia icon labeled ""Data Sources: Wikidata + Wikipedia."" Step 2 shows a diagram/ontology screen labeled ""Define What to Look For."" Step 3 shows a circuit chip with a pencil and checkmark labeled ""Draft and Verify Seed Tags."" Step 4 shows five entity icons (person, building, location, flask, gear) labeled ""Organize Tags for Extraction."" Step 5 shows a robotic arm labeled ""Pull Matching Triples."" Step 6 shows a document scanner labeled ""Find Supporting Text."" Step 7 shows a funnel/filter labeled ""Filter and Balance the Dataset."" Step 8 shows a suitcase labeled ""SC-RED Dataset"" with triples falling into it, displaying stats: 1,150 docs, 1,671 triples, 2,328 entities, 11 relations. A footnote at the bottom right reads ""Generated with Claude Sonnet 5.0.""","A Silver-Standard Dataset for Supply Chain Relation Extraction

SHORT ALT TEXT (primary alt attribute):
Research poster presenting SC-RED, a supply chain relation extraction dataset built from Wikidata and Wikipedia, comprising 1,150 text-triplet sample pairs across 11 relation types and 5 entity types.

LONG DESCRIPTION (accompanying metadata field):
This poster introduces SC-RED (Supply Chain Relation Extraction Dataset), a benchmark dataset comprising 1,150 text-triplet pairs, spanning 11 relations and 5 entity types across 1,671 triples and 2,328 unique entities. Relations cover the supply chain network, including ""has subsidiary,"" ""is in partnership with,"" ""sources energy from,"" and ""processes raw material."" The underlying ontology defines 15 relations and 5 entity types, combining the SCOR-DS supply chain framework with an Enterprise Ontology to formally ground supply chain actors rather than define them freely. The current dataset covers a subset of these 15 relations, scoped fr",,,
9,67,From Documents to Decisions: Ontology-Driven Knowledge Graph Construction for Collective Intelligence Using Agentic AI,"Felix Neubürger, Ole Katzenberger, Salvador Cantuarias and Thomas Kopinski",,https://drive.google.com/file/d/1wL2ntIDXJwc3nhdqtGagRJddgKjs-fOr/view?usp=drive_link,"Knowledge Graph Construction, Ontology-Driven Extraction, Large Language Models, Agentic AI, Competency Questions, SHACL Validation, Information Extraction, Semantic Web",pd,Poster,"Poster titled ""From Documents to Decisions: Ontology-Driven Knowledge Graph Construction Using Iterative LLM Pipelines."" Presents an iterative, ontology-driven pipeline for building knowledge graphs from documents using local LLMs, with a six-stage confidence pipeline, SHACL validation, and a companion legal-statute graph.


LONG DESCRIPTION
================

Title and authors: ""From Documents to Decisions: Ontology-Driven Knowledge Graph Construction Using Iterative LLM Pipelines."" Authors: Felix Neuburger, Ole Katzenberger, Salvador Cantuarias, and Thomas Kopinski, from South Westphalia University of Applied Sciences and GAIA Lab. Presented at SEMANTICS 2026, Ghent, Belgium.

Motivation: In specialized domains like nuclear engineering and legal compliance, critical decisions depend on synthesizing knowledge from large document collections. Knowledge graphs help by making this knowledge queryable, but building them usually requires costly manual curation or expensive cloud LLM APIs. This work proposes a multi-step pipeline using local LLMs as an alternative.

Contributions: Four contributions are listed: an autonomous competency-question-driven discovery loop; a six-stage confidence pipeline combining rule-based and LLM-based extraction; integrated SHACL validation to enforce ontological consistency during construction; and a domain-agnostic architecture.

CQ discovery loop figure: Flowchart of the CQ-driven discovery loop. On the left, a purple box labeled ""Ontology"" contains three stacked elements connected top to bottom: OWL Ontology, SHACL Shapes, and Competency Questions, with arrows labeled ""class defs"" and ""constraints"" feeding into the main pipeline. On the right, a blue box labeled ""Discovery Iteration"" shows a sequential flow: CQ Generation (per class) leads to Hybrid Retrieval (dense + BM25), which leads to Tiered Extraction (rules to LLM), which leads to Deduplication (embedding sim.), which leads to Relation Extraction, which leads to a 6-Stage Confidence Pipeline, which leads to SHACL Validation, which leads to Coverage Measurement. This feeds into a diamond decision node labeled ""Converged?"" If yes, the flow exits to a green box labeled ""Knowledge Graph."" If no, it routes to a red box labeled ""Follow-up CQs,"" which loops back (dashed red arrow labeled ""next iteration"") to the CQ Generation step, restarting the cycle.
","Poster titled ""From Documents to Decisions: Ontology-Driven Knowledge Graph Construction Using Iterative LLM Pipelines."" Presents an iterative, ontology-driven pipeline for building knowledge graphs from documents using local LLMs, with a six-stage confidence pipeline, SHACL validation, and a companion legal-statute graph.


LONG DESCRIPTION
================

Title and authors: ""From Documents to Decisions: Ontology-Driven Knowledge Graph Construction Using Iterative LLM Pipelines."" Authors: Felix Neuburger, Ole Katzenberger, Salvador Cantuarias, and Thomas Kopinski, from South Westphalia University of Applied Sciences and GAIA Lab. Presented at SEMANTICS 2026, Ghent, Belgium.

Motivation: In specialized domains like nuclear engineering and legal compliance, critical decisions depend on synthesizing knowledge from large document collections. Knowledge graphs help by making this knowledge queryable, but building them usually requires costly manual curation or expensive cloud LLM APIs. T",,,
10,46,From Fragmentation to Fidelity: Can Partially Harmonized Knowledge Graphs Support Reliable Clinical Question Answering?,"Astha Anand, Martin Hofmann-Apitius, Maria Vehreschild, Jörg Janne Vehreschild and Marc Jacobs",,https://drive.google.com/file/d/1Ad3COE7icuEsaokGlH-mSdhSotxFj9Jy/view?usp=drive_link,"Knowledge Graphs (KG), Retrieval-Augmented Generation (RAG), Generative AI and Knowledge Graphs, Reasoning on RAG, Provenance, Explainable AI, Biomedicine and Health",pd,Poster,"Alternative description for the A1 poster “From Fragmentation to Fidelity: Can Partially Harmonized Knowledge Graphs Support Reliable Clinical Question Answering?”

This landscape-format scientific poster presents a constrained knowledge-graph retrieval-augmented generation, or KG-RAG, system for evidence-grounded clinical question answering. The poster is arranged in three main columns beneath a turquoise header containing the title, authors, affiliations, the Fraunhofer SCAI logo, and the COMMUTE project logo.

The Introduction explains that clinical question answering often requires evidence from disconnected clinical guidelines, trials, and biomedical knowledge. Fully harmonized knowledge graphs are rarely available, while conventional large language models may produce unsupported claims and weak provenance. The work therefore investigates whether a partially harmonized knowledge graph can still support reliable, evidence-grounded clinical question answering.

The Methods section describes two linked knowledge-graph layers. The clinical evidence subgraph contains guidelines, clinical trials, and biomedical entity mentions. The biomedical hypothesis subgraph contains diseases, phenotypes, genes, and biological processes. Shared bridge entities connect both layers and are the only admissible anchors for downstream retrieval.

A central workflow diagram shows the KG-RAG pipeline from left to right. A user clinical question is converted into clinical anchors, which are mapped to runtime-derived shared bridge entities or proxies. Evidence is then retrieved and ranked deterministically using fixed Cypher templates rather than large-language-model-generated queries. The retrieval returns guideline chunks, linked clinical trials, biomedical neighbours, and graph paths. These are compacted into a bounded EvidencePack. The final language-model step synthesizes provenance-linked guidance that distinguishes guideline-backed recommendations, trial-supported emerging evidence, and graph-based mechanistic support.

The diagram distinguishes precomputed knowledge-graph data from the AI pipeline: the precomputed data feeds into deterministic evidence retrieval, while the AI pipeline covers the initial question-processing steps.

The Results section reports evaluation on three post-COVID olfactory dysfunction questions covering clinical evaluation, appropriate assessments, and neurodegenerative risk. Responses from the agentic system and a standalone large language model were scored independently by two domain experts.

A summary table gives mean scores across the three questions and both experts on a five-point scale. For guideline adherence, the agentic system scored 4.2 and the standalone model 4.5. For evidence traceability, the agentic system scored 5.0 and the standalone model 1.5. For evidence reliability, the agentic system scored 3.8 and the standalone model 1.0. For clinical plausibility and safety, the agentic system scored 3.0 and the standalone model 4.3. For question-intent alignment, the agentic system scored 3.0 and the standalone model 4.3.

The main finding is a clear trade-off. The agentic system performs substantially better in evidence traceability and reliability, while the standalone model performs better in clinical completeness and question-intent alignment. The poster concludes that the approach improves evidence fidelity and offers a reusable design for clinical question answering over partially harmonized, cross-domain knowledge infrastructures.

The Outlook proposes expanding neurological concepts, guideline coverage, and knowledge-graph connectivity to improve clinical completeness and question alignment. It also proposes integrating the framework into the COMMUTE EvidenceBase alongside agents over patient cohorts, networks, and experimental data.

The footer states that the work was supported by Fraunhofer SCAI and the European Union-funded COMMUTE project under grant agreement 101136957. It provides the source-code repository at github.com/SCAI-BIO/Guidelines_Store_Agent, the corresponding author’s contact details, and two references.","Alternative description for the A1 poster “From Fragmentation to Fidelity: Can Partially Harmonized Knowledge Graphs Support Reliable Clinical Question Answering?”

This landscape-format scientific poster presents a constrained knowledge-graph retrieval-augmented generation, or KG-RAG, system for evidence-grounded clinical question answering. The poster is arranged in three main columns beneath a turquoise header containing the title, authors, affiliations, the Fraunhofer SCAI logo, and the COMMUTE project logo.

The Introduction explains that clinical question answering often requires evidence from disconnected clinical guidelines, trials, and biomedical knowledge. Fully harmonized knowledge graphs are rarely available, while conventional large language models may produce unsupported claims and weak provenance. The work therefore investigates whether a partially harmonized knowledge graph can still support reliable, evidence-grounded clinical question answering.

The Methods section d",,,
